,APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
866,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0009170000","Nov 9, 2010",DERIVADO,DAÑOS
867,"GUIBOVICH ARTEAGA, OTTO NAPOLEÓN",Acción Popular,Ancash,02° Fiscalia Provincial Prevencion Del Delito,"00507010952-2010-
0007490000","Nov 6, 2010",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD
868,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0004190000","Nov 5, 2010",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
869,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0005350000","Nov 4, 2010",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
870,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0008320000","Nov 4, 2010",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
871,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0008330000","Nov 4, 2010",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
872,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,03ºfiscalia Provincial Mixta De Puente Piedra,"00606020616-2008-
0005320000","Oct 19, 2010",CON DICTAMEN,USURPACION
873,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,03ºfiscalia Provincial Mixta De Puente Piedra,"00606020616-2010-
0000450000","Oct 15, 2010",CON RESOLUCION EMITIDA,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD
874,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,2ª Fiscalia Provincial De Prevencion Del Delito Lima- Norte,"00606020607-2010-
0001910000","Oct 6, 2010",ARCHIVO DEFINITIVO,CONTRA LOS RECURSOS NATURALES Y MEDIO AMBIENTE (CONTAMINACION AMBIENTAL)
875,"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2010-
0014180000","Oct 5, 2010",CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD
876,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0007710000","Sep 30, 2010",DERIVADO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
877,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0007750000","Sep 30, 2010",DERIVADO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
878,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0008490000","Sep 30, 2010",DENUNCIA PENDIENTE,CONCUSION (PATROCILICITDEINTERPART)
879,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0007730000","Sep 30, 2010",DERIVADO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
880,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0007720000","Sep 30, 2010",DERIVADO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
881,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0007700000","Sep 30, 2010",DERIVADO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
882,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0007740000","Sep 22, 2010",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
883,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0004030000","Sep 15, 2010",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
